id,Pos,GS,FGptg,X3Pptg,PF,PTS,AST,Salary
252,PG,0,0.408,0.3,3.7,14.9,6.3,242374
253,SG,31.33333333,0.448333333,0.364833333,3.4,15.98333333,6.433333333,3769333.333
254,SG,1,0.367,0.214,2.9,13.4,2.4,1962103
255,PG,1,0.345,0.154,2.1,7.6,7.4,59686
256,C,57.66666667,0.581666667,0.166666667,4.033333333,15.06666667,0.733333333,2462360
257,SG,26.5,0.4675,0.3755,2.65,12.4875,2.25,2852253.5
258,PG,30.75,0.39625,0.355,2.0625,8.5875,5.975,3898600
259,C,74.4,0.5045,0.1265,2.38,19.62,3.42,16493555.9
260,SF,39.22222222,0.437333333,0.377666667,2.455555556,15.38888889,2.788888889,6230831.111
261,SF,0,0.3655,0,4.025,8.225,2.075,593785.75
262,SF,71.125,0.482875,0.37775,1.7875,25.8625,3.4,11063787
263,SF,7,0.355,0.262,3.2,11.7,2,507336
264,SF,5,0.385666667,0.224333333,2.9,13.2,1.166666667,763396
265,C,4,0.484,0,9.2,8.5,0.6,1000000
266,PG,0,0.33,0.31,3.1,9.2,6.3,5926984
267,SG,11.83333333,0.417833333,0.383666667,2.183333333,12.95,1.933333333,1659767.667
268,SG,59.9,0.4517,0.3062,2.47,19.04,4.64,7324358.1
269,C,17.71428571,0.438285714,0.064285714,4.028571429,7.585714286,1.457142857,1653071.714
270,C,7.25,0.4795,0,4.85,10.725,1.6,1379483
271,SF,0,0.571,0,1.6,10.4,0.8,61433
272,SG,0,0.375,0.28,4.1,10.5,2.3,473604
273,SF,3,0.409,0.326,3,10.7,1.6,507336
274,PG,1,0.361,0.279,3.2,10.6,6.4,1590720
275,C,8.5,0.543,0,6.4,10.3,1.1,617899.5
276,SF,1.4,0.5994,0.08,4.14,12.16,1.8,1297159.8
277,SF,16,0.437285714,0.365571429,3.271428571,12.35714286,1.342857143,1940452.286
278,PF,20.6,0.4664,0.1,4.54,8.19,1.09,3041616
