player_id,positions,height,weight,shoots,team,birthday,birthyear,birth_place,debut_date,experience
greenda02,['Shooting Guard'],6-6,215,Right,San Antonio Spurs,June 22,1987,"North Babylon, New York","November 12, 2009",7
watsocj01,['Point Guard'],6-2,175,Right,Orlando Magic,April 17,1984,"Las Vegas, Nevada","January 9, 2008",9
wrighbr03,"['Power Forward', 'Center']",6-10,210,Left,Memphis Grizzlies,October 5,1987,"Nashville, Tennessee","November 6, 2007",8
kamanch01,['Center'],7-0,265,Right,,April 28,1982,"Wyomg, Michigan","October 30, 2003",13
villach01,['Power Forward'],6-11,232,Right,,August 24,1984,"Queens, New York","November 2, 2005",11
wilcoch01,"['Center', 'Power Forward']",6-10,221,Right,,September 3,1982,"Raleigh, North Carola","October 30, 2002",
thomaku01,"['Power Forward', 'Center']",6-9,230,Right,,October 4,1972,"Dallas, Texas","November 4, 1995",
davised01,"['Power Forward', 'Center']",6-10,240,Left,Portland Trail Blazers,June 5,1989,"Washgton, District of Columbia","December 1, 2010",6
delfica01,"['Small Forward', 'Shooting Guard']",6-6,230,Right,,August 29,1982,"Santa Fe, Argenta","November 2, 2004",
martike01,"['Power Forward', 'Center']",6-9,234,Right,,December 30,1977,"Sagaw, Michigan","October 31, 2000",
thompja02,"['Power Forward', 'Center']",6-11,250,Right,,July 21,1986,"Camden, New Jersey","October 29, 2008",8
drumman01,['Center'],6-11,279,Right,Detroit Pistons,August 10,1993,"Mount Vernon, New York","October 31, 2012",4
mayooj01,['Shooting Guard'],6-5,210,Right,,November 5,1987,"Huntgton, West Virgia","October 29, 2008",8
evansty01,"['Shooting Guard', 'Small Forward']",6-6,220,Right,New Orleans Pelicans,September 19,1989,"Chester, Pennsylvania","October 28, 2009",7
thompkl01,['Shooting Guard'],6-7,215,Right,Golden State Warriors,February 8,1990,"Los Angeles, California","December 25, 2011",5
childjo01,"['Small Forward', 'Shooting Guard']",6-8,210,Right,,June 20,1983,"Harbor City, California","November 3, 2004",8
