player_id,Season,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
gordobe01,2013,NBA,SG,19,0,279,4.8,13.9,0.343,1,3.7,0.276,3.7,10.2,0.367,2.2,2.7,0.81,0.4,3.1,3.5,2.7,1.3,0.3,2.7,2.3,12.8,13200000
salmojo01,2013,NBA,SG-SF,78,8,1726,3.1,8.6,0.363,1.3,3.4,0.387,1.8,5.2,0.348,0.8,1.1,0.769,0.4,3,3.4,3.1,1,0.4,1.1,2.6,8.4,7583000
biedran01,2013,NBA,C,6,0,45,0.8,0.8,1,0,0,,0.8,0.8,1,0.8,4.8,0.167,1.6,12,13.6,0,0,0,1.6,4.8,2.4,9000000
ridnolu01,2013,NBA,PG,61,14,1141,4,10.3,0.385,1.2,3.4,0.343,2.8,6.9,0.406,0.5,0.8,0.654,0.7,2.3,3.1,5.6,1,0.3,2.1,2.9,9.7,4320000
ilyaser01,2013,NBA,PF,55,47,1478,5.8,14.1,0.409,0.9,3.2,0.282,4.9,10.9,0.446,2.6,3.2,0.823,2.6,5.7,8.3,1.8,1.1,0.2,1.5,3.3,15.1,7900000
afflaar01,2013,NBA,SG,73,73,2552,6.5,14.3,0.459,1.8,4.2,0.427,4.7,10,0.473,3.9,4.7,0.815,0.5,3.2,3.7,3.5,0.5,0,2.1,1.9,18.8,7312500
greenje02,2013,NBA,SF,82,82,2805,6.2,15,0.412,1.7,5.1,0.341,4.5,9.9,0.448,3.6,4.6,0.795,0.7,4.2,4.9,1.8,0.7,0.6,2.1,2.3,17.7,8965000
hayesch01,2013,NBA,C,61,1,754,2.7,6.2,0.431,0,0,0,2.7,6.2,0.434,1,1.2,0.8,3.3,6.7,10,1.7,1.6,0.6,1.6,4.5,6.3,5722500
georgpa01,2013,NBA,SF,80,80,2898,7.2,16.9,0.424,2.3,6.2,0.364,4.9,10.7,0.458,5,5.8,0.864,0.8,5.9,6.7,3.5,1.9,0.3,2.8,2.5,21.6,3282003
gibsota01,2013,NBA,PF,82,8,2351,6.6,13.7,0.479,0,0.1,0,6.6,13.6,0.483,3.2,4.3,0.751,3.1,5.5,8.5,1.4,0.6,1.7,2.3,3.2,16.4,7550000
lopezro01,2013,NBA,C,82,82,2603,4.9,8.9,0.551,0,0,0,4.9,8.9,0.552,2.7,3.3,0.818,4.5,5.2,9.7,1,0.3,1.9,1.2,2.7,12.6,5904261
leonaka01,2013,NBA,SF,66,65,1923,6.3,12.1,0.522,1.3,3.4,0.379,5,8.7,0.579,1.9,2.4,0.802,1.4,6.3,7.7,2.5,2.1,0.9,1.5,2.4,15.8,1887840
